path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
Programs/Keygroups/Samples From Mars/DX100 From Mars/Fuzz Clav.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Good Vibes.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Hard Brass.xpm,Keygroup,gzip-json,pass,96,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Harpsi FM.xpm,Keygroup,gzip-json,pass,170,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Harpsichord.xpm,Keygroup,gzip-json,pass,74,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Helicopter FX.xpm,Keygroup,gzip-json,pass,61,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/House Organ.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Jazzy Organ.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Jet Son FX.xpm,Keygroup,gzip-json,pass,72,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Marimba.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Metal Tube.xpm,Keygroup,gzip-json,pass,168,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Mono Bass.xpm,Keygroup,gzip-json,pass,96,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Old Banjo.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Pan Flute.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Pristine Celeste.xpm,Keygroup,gzip-json,pass,193,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Soft Horns.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Solid Bass.xpm,Keygroup,gzip-json,pass,252,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Star Piano.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Steel Drums.xpm,Keygroup,gzip-json,pass,77,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Synthe Bass.xpm,Keygroup,gzip-json,pass,336,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Tubular Bells.xpm,Keygroup,gzip-json,pass,255,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Warble Celeste.xpm,Keygroup,gzip-json,pass,192,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Wood Piano.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Xylo Snare.xpm,Keygroup,gzip-json,pass,96,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/80s Piano.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Bass Pizz.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/Drift Bass.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Dr Sample From Mars/Bass/E Bass.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
